id,price,room_type,accommodates,bedrooms,beds,bathrooms,shared_bath,dist_center_km,neighbourhood,property_type,superhost,host_tenure_yrs,host_n_listings,n_reviews_ltm,is_new,minimum_nights,has_pool,has_hot_tub,has_ac,has_free_parking,has_gym,has_washer,has_ev_charger,has_workspace,pets_allowed,self_checkin
1308794760140978311,296.45,Entire home/apt,9,3,7,3.5,0,10.655326014513413,78745,House,1,1.5,3,7,0,1,0,0,1,1,0,1,0,1,1,1
854345884562823154,233,Private room,2,1,1,1,0,0.6465404865493488,78701,Hotel-like,0,3.25,92,0,1,1,1,0,1,0,1,0,0,1,1,1
1276064225322302764,183,Entire home/apt,8,3,3,2,0,11.890728277869696,78758,House,0,3.25,1,23,0,2,0,0,1,1,0,1,0,1,0,1
650635293502406464,153.01,Entire home/apt,6,2,2,1,0,1.6711396264694043,78702,House,1,9.75,3,35,0,3,0,0,1,1,0,1,0,1,1,1
32125293,128.95000000000002,Entire home/apt,2,1,1,1,0,16.638519311016548,Other,Guesthouse/Guest suite,0,10.666666666666666,2,33,0,1,0,0,1,1,0,0,0,1,0,1
660395971453922427,755.5,Entire home/apt,16,10,16,5,0,3.801296935961023,78702,House,1,6.666666666666667,14,6,0,2,1,1,1,1,0,1,0,1,1,1
1088699893177278083,94,Private room,2,1,1,1,0,8.189852208596399,78753,House,1,8.583333333333334,2,3,0,2,0,0,1,1,0,1,0,0,0,0
54221580,219.2,Private room,4,3,12,2.5,0,14.620857258048925,Other,House,1,4.333333333333333,1,0,0,5,0,1,1,1,0,1,0,1,1,0
1552985827030987339,93.41000000000001,Entire home/apt,2,2,2,2,0,13.141371865811248,Other,Apartment/Condo,0,8.5,1,0,1,6,1,0,1,1,0,1,0,1,0,0
670341538947144448,373,Entire home/apt,2,1,1,1,0,3.535142193809004,78704,Guesthouse/Guest suite,1,9.333333333333334,1,39,0,3,1,1,1,1,0,0,0,1,0,1
51859129,300.5,Entire home/apt,12,4,6,2,0,3.251255308318519,78704,House,1,4.833333333333333,2,16,0,2,1,0,1,1,0,1,0,1,0,1
53511394,127.35,Entire home/apt,6,2,5,1,0,6.267988466142066,78741,Apartment/Condo,1,3.3333333333333335,8,20,0,2,0,0,1,1,0,1,0,1,1,1
1477573480202888514,318.5,Private room,4,1,2,1,0,0.7559543718669878,78701,Hotel-like,0,2.25,7,2,0,2,1,0,1,0,0,1,0,0,0,1
988981411608995254,392,Entire home/apt,6,2,3,2,0,0.5898087846023603,78701,Apartment/Condo,1,2.75,26,0,1,1,1,0,1,0,1,1,0,0,0,1
1415354237385963356,74.86999999999999,Entire home/apt,4,2,2,1,0,7.020916062808977,78723,Apartment/Condo,0,1.5833333333333335,4,15,0,4,0,0,1,1,0,1,0,1,0,0
